,precision,recall,f1-score,support
Tomato__BacterialSpot,0.8864734299516909,0.9175,0.9017199017199017,400.0
Tomato__EarlyBlight,0.8585858585858586,0.7798165137614679,0.8173076923076923,218.0
Tomato__Healthy,0.8972222222222223,0.9728915662650602,0.9335260115606936,332.0
Tomato__LateBlight,0.9095354523227384,0.93,0.9196538936959209,400.0
Tomato__LeafMold,0.9030612244897959,0.8509615384615384,0.8762376237623762,208.0
Tomato__MosaicVirus,0.9393939393939394,0.7294117647058823,0.8211920529801324,85.0
Tomato__SeptoriaLeafSpot,0.8682170542635659,0.8772845953002611,0.8727272727272727,383.0
Tomato__SpiderMites,0.8646408839779005,0.9343283582089552,0.8981348637015782,335.0
Tomato__TargetSpot,0.8245614035087719,0.8392857142857143,0.831858407079646,280.0
Tomato__YellowLeafCurlVirus,0.9972527472527473,0.9075,0.9502617801047121,400.0
accuracy,0.8937849391647484,0.8937849391647484,0.8937849391647484,0.8937849391647484
macro avg,0.8948944215969231,0.8738980050988878,0.8822619499639925,3041.0
weighted avg,0.8954614887210546,0.8937849391647484,0.8934122893759295,3041.0
